ReferenzNr	Name	Vorname	Strasse	PLZ	Wohnort	Anzahl	Datum	email	Natel	Lieferung	Bezahlung	Rechnungsbetrag	Kommentar	Bezahlt	Geliefert	TimeStamp	ModBy	TicketNummern	DavonGratis	Beleg	Plaetze	EinlassGewaehrt	QuittungGesendet	PlatzZuteilungGesendet	RechnungGesendet
20190002				8864	Reichenburg	20	Freitag  20-September-2019			Abholen	Abendkasse	900.00		Nein	Nein	20190710113256	Walter_Rothlin								20190618105012
20190003				8855	Wangen	22	Freitag  20-September-2019			Abholen	Barzahlung	990.00		Nein	Nein	20180921185324	Walter_Rothlin								20190618105016
20190004				8853	Lachen	8	Freitag  20-September-2019			Abholen	Vorauszahlung	360.00		Nein	Nein	20181002213632	Walter_Rothlin								20190618104919
20190005				8854	Siebnen	10	Freitag  20-September-2019			Abholen	Vorauszahlung	450.00		Ja	Nein	20190627132513	Walter_Rothlin			Bank-25.6.19			20190627132542		20190618105020
20190006				8854	Siebnen	12	Freitag  20-September-2019			eTicket	Vorauszahlung	540.00		Ja	Nein	20181024102312	Walter_Rothlin			Bank-15.10.2018			20181125135703		
20190007				8854	Siebnen	20	Freitag  20-September-2019			eTicket	Vorauszahlung	900.00		Ja	Nein	20181024102422	Walter_Rothlin			Bank-19.10.2018			20181125135710		
20190008				8855	Wangen	13	Freitag  20-September-2019			eTicket	Vorauszahlung	585.00		Ja	Nein	20181201203045	Walter_Rothlin			Bank-30.11.18			20181201203125		
20190009				8854	Siebnen	20	Freitag  20-September-2019			eTicket	Vorauszahlung	900.00		Ja	Nein	20181107083643	Walter_Rothlin			Bank-25.102018			20181125135728		
20190010				8855	Wangen	6	Freitag  20-September-2019			eTicket	Vorauszahlung	270.00		Ja	Nein	20181110095736	Walter_Rothlin			Bank-29.10.2018			20181125135743		
20190011				8854	Siebnen	9	Freitag  20-September-2019			eTicket	Vorauszahlung	405.00		Ja	Nein	20181107083824	Walter_Rothlin			Bank-5.11.18			20181125135734		
20190013				8863	Buttikon	8	Samstag  21-September-2019			eTicket	Vorauszahlung	360.00		Ja	Nein	20190128190637	Walter_Rothlin			Bank-12.11.2018 270.-<BR>Bank-25.1.2019 90.-			20190128190748		20190123102906
