Vorname;Nachname
PENELOPE;GUINESS
NICK;WAHLBERG
ED;CHASE
JENNIFER;DAVIS
JOHNNY;LOLLOBRIGIDA
BETTE;NICHOLSON
GRACE;MOSTEL
MATTHEW;JOHANSSON
JOE;SWANK
CHRISTIAN;GABLE
ZERO;CAGE
KARL;BERRY
UMA;WOOD
VIVIEN;BERGEN
CUBA;OLIVIER
FRED;COSTNER
HELEN;VOIGHT
DAN;TORN
BOB;FAWCETT
LUCILLE;TRACY
KIRSTEN;PALTROW
ELVIS;MARX
SANDRA;KILMER
CAMERON;STREEP
KEVIN;BLOOM
RIP;CRAWFORD
JULIA;MCQUEEN
WOODY;HOFFMAN
ALEC;WAYNE
SANDRA;PECK
SISSY;SOBIESKI
TIM;HACKMAN
MILLA;PECK
AUDREY;OLIVIER
JUDY;DEAN
BURT;DUKAKIS
VAL;BOLGER
TOM;MCKELLEN
GOLDIE;BRODY
JOHNNY;CAGE
JODIE;DEGENERES
TOM;MIRANDA
KIRK;JOVOVICH
NICK;STALLONE
REESE;KILMER
PARKER;GOLDBERG
JULIA;BARRYMORE
FRANCES;DAY-LEWIS
ANNE;CRONYN
NATALIE;HOPKINS
GARY;PHOENIX
CARMEN;HUNT
MENA;TEMPLE
PENELOPE;PINKETT
FAY;KILMER
DAN;HARRIS
JUDE;CRUISE
CHRISTIAN;AKROYD
DUSTIN;TAUTOU
HENRY;BERRY
CHRISTIAN;NEESON
JAYNE;NEESON
CAMERON;WRAY
RAY;JOHANSSON
ANGELA;HUDSON
MARY;TANDY
JESSICA;BAILEY
RIP;WINSLET
KENNETH;PALTROW
MICHELLE;MCCONAUGHEY
ADAM;GRANT
SEAN;WILLIAMS
GARY;PENN
MILLA;KEITEL
BURT;POSEY
ANGELINA;ASTAIRE
CARY;MCCONAUGHEY
GROUCHO;SINATRA
MAE;HOFFMAN
RALPH;CRUZ
SCARLETT;DAMON
WOODY;JOLIE
BEN;WILLIS
JAMES;PITT
MINNIE;ZELLWEGER
GREG;CHAPLIN
SPENCER;PECK
KENNETH;PESCI
CHARLIZE;DENCH
SEAN;GUINESS
CHRISTOPHER;BERRY
KIRSTEN;AKROYD
ELLEN;PRESLEY
KENNETH;TORN
DARYL;WAHLBERG
GENE;WILLIS
MEG;HAWKE
CHRIS;BRIDGES
JIM;MOSTEL
SPENCER;DEPP
SUSAN;DAVIS
WALTER;TORN
MATTHEW;LEIGH
PENELOPE;CRONYN
SIDNEY;CROWE
GROUCHO;DUNST
GINA;DEGENERES
WARREN;NOLTE
SYLVESTER;DERN
SUSAN;DAVIS
CAMERON;ZELLWEGER
RUSSELL;BACALL
MORGAN;HOPKINS
MORGAN;MCDORMAND
HARRISON;BALE
DAN;STREEP
RENEE;TRACY
CUBA;ALLEN
WARREN;JACKMAN
PENELOPE;MONROE
LIZA;BERGMAN
SALMA;NOLTE
JULIANNE;DENCH
SCARLETT;BENING
ALBERT;NOLTE
FRANCES;TOMEI
KEVIN;GARLAND
CATE;MCQUEEN
DARYL;CRAWFORD
GRETA;KEITEL
JANE;JACKMAN
ADAM;HOPPER
RICHARD;PENN
GENE;HOPKINS
RITA;REYNOLDS
ED;MANSFIELD
MORGAN;WILLIAMS
LUCILLE;DEE
EWAN;GOODING
WHOOPI;HURT
CATE;HARRIS
JADA;RYDER
RIVER;DEAN
ANGELA;WITHERSPOON
KIM;ALLEN
ALBERT;JOHANSSON
FAY;WINSLET
EMILY;DEE
RUSSELL;TEMPLE
JAYNE;NOLTE
GEOFFREY;HESTON
BEN;HARRIS
MINNIE;KILMER
MERYL;GIBSON
IAN;TANDY
FAY;WOOD
GRETA;MALDEN
VIVIEN;BASINGER
LAURA;BRODY
CHRIS;DEPP
HARVEY;HOPE
OPRAH;KILMER
CHRISTOPHER;WEST
HUMPHREY;WILLIS
AL;GARLAND
NICK;DEGENERES
LAURENCE;BULLOCK
WILL;WILSON
KENNETH;HOFFMAN
MENA;HOPPER
OLYMPIA;PFEIFFER
GROUCHO;WILLIAMS
ALAN;DREYFUSS
MICHAEL;BENING
WILLIAM;HACKMAN
JON;CHASE
GENE;MCKELLEN
LISA;MONROE
ED;GUINESS
JEFF;SILVERSTONE
MATTHEW;CARREY
DEBBIE;AKROYD
RUSSELL;CLOSE
HUMPHREY;GARLAND
MICHAEL;BOLGER
JULIA;ZELLWEGER
RENEE;BALL
ROCK;DUKAKIS
CUBA;BIRCH
AUDREY;BAILEY
GREGORY;GOODING
JOHN;SUVARI
BURT;TEMPLE
MERYL;ALLEN
JAYNE;SILVERSTONE
BELA;WALKEN
REESE;WEST
MARY;KEITEL
JULIA;FAWCETT
THORA;TEMPLE
