Time               ;q [%] ;p_Low [bar];p_High [bar];T_Env [C] ;T_Water [C];Comp_1_Ready;Comp_2_Ready;EmergencyOff;DelayedOn;ShutOff-Valve;Water Pump ;Mixing Valve Open;Compressor 1   ;Compressor 2   ;Fan Speed
2019-08-29 18:07:57;-23.50 ERROR: No sensor attached!!!;  5.34     ;  5.22      ;      36.6;      38.3 ;        True;        True;        True;     True;       Closed;        Off;              0.0;       0.0  Off;       0.0  Off;          0
2019-08-29 18:08:00;-23.37 ERROR: No sensor attached!!!;  5.34     ;  5.25      ;      36.4;      38.1 ;        True;        True;        True;     True;       Closed;        Off;              0.0;       0.0  Off;       0.0  Off;          0
2019-08-29 18:08:03;-23.37 ERROR: No sensor attached!!!;  5.36     ;  5.22      ;      36.8;      38.3 ;        True;        True;        True;     True;       Closed;        Off;              0.0;       0.0  Off;       0.0  Off;          0
2019-08-29 18:08:06;-23.37 ERROR: No sensor attached!!!;  5.37     ;  5.25      ;      36.6;      38.3 ;        True;        True;        True;     True;       Closed;        Off;              0.0;       0.0  Off;       0.0  Off;          0
2019-08-29 18:08:09;-23.37 ERROR: No sensor attached!!!;  5.36     ;  5.22      ;      36.8;      38.3 ;        True;        True;        True;     True;       Closed;        Off;              0.0;       0.0  Off;       0.0  Off;          0
2019-08-29 18:08:12;-23.50 ERROR: No sensor attached!!!;  5.35     ;  5.22      ;      36.6;      38.3 ;        True;        True;        True;     True;       Closed;        Off;              0.0;       0.0  Off;       0.0  Off;          0
2019-08-29 18:08:15;-23.50 ERROR: No sensor attached!!!;  5.36     ;  5.28      ;      36.8;      38.3 ;        True;        True;        True;     True;       Closed;        Off;              0.0;       0.0  Off;       0.0  Off;          0
2019-08-29 18:08:18;-23.37 ERROR: No sensor attached!!!;  5.36     ;  5.22      ;      36.8;      38.3 ;        True;        True;        True;     True;       Closed;        Off;              0.0;       0.0  Off;       0.0  Off;          0
2019-08-29 18:08:21;-23.37 ERROR: No sensor attached!!!;  5.36     ;  5.25      ;      36.6;      38.3 ;        True;        True;        True;     True;       Closed;        Off;              0.0;       0.0  Off;       0.0  Off;          0
2019-08-29 18:08:24;-23.25 ERROR: No sensor attached!!!;  5.36     ;  5.25      ;      36.6;      38.3 ;        True;        True;        True;     True;       Closed;        Off;              0.0;       0.0  Off;       0.0  Off;          0
2019-08-29 18:08:27;-23.25 ERROR: No sensor attached!!!;  5.37     ;  5.25      ;      36.6;      38.5 ;        True;        True;        True;     True;       Closed;        Off;              0.0;       0.0  Off;       0.0  Off;          0
2019-08-29 18:08:30;-23.25 ERROR: No sensor attached!!!;  5.36     ;  5.25      ;      36.6;      38.5 ;        True;        True;        True;     True;       Closed;        Off;              0.0;       0.0  Off;       0.0  Off;          0
2019-08-29 18:08:33;-23.50 ERROR: No sensor attached!!!;  5.35     ;  5.31      ;      36.6;      38.5 ;        True;        True;        True;     True;       Closed;        Off;              0.0;       0.0  Off;       0.0  Off;          0
2019-08-29 18:08:36;-23.50 ERROR: No sensor attached!!!;  5.35     ;  5.25      ;      36.8;      38.5 ;        True;        True;        True;     True;       Closed;        Off;              0.0;       0.0  Off;       0.0  Off;          0
2019-08-29 18:08:39;-23.37 ERROR: No sensor attached!!!;  5.37     ;  5.25      ;      36.8;      38.5 ;        True;        True;        True;     True;       Closed;        Off;              0.0;       0.0  Off;       0.0  Off;          0
2019-08-29 18:08:42;-23.25 ERROR: No sensor attached!!!;  5.35     ;  5.28      ;      36.8;      38.5 ;        True;        True;        True;     True;       Closed;        Off;              0.0;       0.0  Off;       0.0  Off;          0
