-->20170905235218: Temp:     33.92, Druck:    962.13, Feuchtigkeit:     32.47, Temp Hum Pres
-->20170905235238: Temp:     33.74, Druck:    962.14, Feuchtigkeit:     30.39, Hum
-->20170905235240: Temp:     33.87, Druck:    962.09, Feuchtigkeit:     31.95, Hum
-->20170905235300: Temp:     33.78, Druck:    962.06, Feuchtigkeit:     33.90, Hum
-->20170905235302: Temp:     33.90, Druck:    962.08, Feuchtigkeit:     32.15, Hum
-->20170905235313: Temp:     33.85, Druck:    962.10, Feuchtigkeit:     35.74, Hum
-->20170905235316: Temp:     33.88, Druck:    962.11, Feuchtigkeit:     32.42, Hum
-->20170905235324: Temp:     33.88, Druck:    962.12, Feuchtigkeit:     34.18, Hum
-->20170905235326: Temp:     33.85, Druck:    962.11, Feuchtigkeit:     32.24, Hum
-->20170905235410: Temp:     33.99, Druck:    962.10, Feuchtigkeit:     33.20, Temp Hum Pres
-->20170905235430: Temp:     33.99, Druck:    962.09, Feuchtigkeit:     31.52, Hum
-->20170905235448: Temp:     34.01, Druck:    962.12, Feuchtigkeit:     33.11, Hum
-->20170905235454: Temp:     33.90, Druck:    962.11, Feuchtigkeit:     31.33, Hum
-->20170910082637: Temp:     28.45, Druck:      0.00, Feuchtigkeit:     46.11, Temp Hum Pres
-->20170910082655: Temp:     28.45, Druck:    962.57, Feuchtigkeit:     43.83, Temp Hum Pres
-->20170910083058: Temp:     28.50, Druck:    962.63, Feuchtigkeit:     40.52, Hum
-->20170910083100: Temp:     28.61, Druck:    962.62, Feuchtigkeit:     43.75, Hum
-->20170910083136: Temp:     28.32, Druck:    962.63, Feuchtigkeit:     44.18, Temp
-->20170910083811: Temp:     28.25, Druck:    962.65, Feuchtigkeit:     40.81, Hum
-->20170910083813: Temp:     28.27, Druck:    962.65, Feuchtigkeit:     43.87, Hum
-->20170910083822: Temp:     28.18, Druck:    962.66, Feuchtigkeit:     46.80, Hum
-->20170910083826: Temp:     28.27, Druck:    962.65, Feuchtigkeit:     44.26, Hum
-->20170910083836: Temp:     28.21, Druck:    962.62, Feuchtigkeit:     47.18, Hum
-->20170910083838: Temp:     28.30, Druck:    962.65, Feuchtigkeit:     44.54, Hum
-->20170910084102: Temp:     28.18, Druck:    962.62, Feuchtigkeit:     42.23, Hum
-->20170910084104: Temp:     28.30, Druck:    962.65, Feuchtigkeit:     44.78, Hum
-->20170910084115: Temp:     28.23, Druck:    962.64, Feuchtigkeit:     47.29, Hum
-->20170910084117: Temp:     28.29, Druck:    962.61, Feuchtigkeit:     44.04, Hum
-->20170910084133: Temp:     28.12, Druck:    962.61, Feuchtigkeit:     48.10, Hum
-->20170910084135: Temp:     28.18, Druck:    962.61, Feuchtigkeit:     43.81, Hum
-->20170910084159: Temp:     28.23, Druck:    962.65, Feuchtigkeit:     46.02, Hum
-->20170910084210: Temp:     28.29, Druck:    962.63, Feuchtigkeit:     43.63, Hum
-->20170910084214: Temp:     28.23, Druck:    962.65, Feuchtigkeit:     46.14, Hum
-->20170910084221: Temp:     28.34, Druck:    962.66, Feuchtigkeit:     40.97, Hum
-->20170910084223: Temp:     28.25, Druck:    962.68, Feuchtigkeit:     44.25, Hum
-->20170910084458: Temp:     28.30, Druck:    962.69, Feuchtigkeit:     41.68, Hum
-->20170910084500: Temp:     28.34, Druck:    962.69, Feuchtigkeit:     44.48, Hum
-->20170910084858: Temp:     28.39, Druck:    962.76, Feuchtigkeit:     42.01, Hum
-->20170910084900: Temp:     28.39, Druck:    962.77, Feuchtigkeit:     44.12, Hum
-->20170910085239: Temp:     28.32, Druck:    962.72, Feuchtigkeit:     46.65, Hum
-->20170910085243: Temp:     28.34, Druck:    962.74, Feuchtigkeit:     44.09, Hum
-->20170910085635: Temp:     28.39, Druck:    962.79, Feuchtigkeit:     41.66, Hum
-->20170910085637: Temp:     28.45, Druck:    962.81, Feuchtigkeit:     44.44, Hum
-->20170910085645: Temp:     28.57, Druck:    962.80, Feuchtigkeit:     47.23, Hum
-->20170910085647: Temp:     28.43, Druck:    962.79, Feuchtigkeit:     44.11, Hum
-->20170910085708: Temp:     28.50, Druck:    962.76, Feuchtigkeit:     47.26, Hum
-->20170910085710: Temp:     28.43, Druck:    962.79, Feuchtigkeit:     43.98, Hum
-->20170910085715: Temp:     28.45, Druck:    962.81, Feuchtigkeit:     46.95, Hum
-->20170910085717: Temp:     28.43, Druck:    962.82, Feuchtigkeit:     44.03, Hum
-->20170910085730: Temp:     28.38, Druck:    962.81, Feuchtigkeit:     41.73, Hum
-->20170910085732: Temp:     28.48, Druck:    962.79, Feuchtigkeit:     44.24, Hum
-->20170910085844: Temp:     28.18, Druck:    962.79, Feuchtigkeit:     44.00, Temp
-->20170910085857: Temp:     28.25, Druck:    962.80, Feuchtigkeit:     41.57, Hum
-->20170910085859: Temp:     28.27, Druck:    962.84, Feuchtigkeit:     43.98, Hum
-->20170910085923: Temp:     28.34, Druck:    962.83, Feuchtigkeit:     47.62, Hum
-->20170910085925: Temp:     28.38, Druck:    962.80, Feuchtigkeit:     44.70, Hum
