# <Config><Ort>Uster</Ort><Lon>8.7209</Lon><Lat>47.3471</Lat><FName>weatherLog.txt</FName></Config>
Timestamp|Level|Temp [°C] |Druck [mBar]|Feuchte [%]|Bezeichnung [de]|Beschreibung [de]
2026-06-08 19:55:00|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:02|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:04|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:06|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:08|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:10|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:12|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:14|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:16|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:18|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:20|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:22|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:24|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:26|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:28|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:30|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:32|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:34|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:36|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:39|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:41|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:43|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:45|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:47|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:49|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:51|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:53|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:55|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:57|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:55:59|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:01|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:03|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:05|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:07|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:09|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:11|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:13|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:15|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:17|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:19|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:21|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:23|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:25|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:27|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:29|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:31|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:33|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:36|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:38|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:40|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:42|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:44|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:46|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:48|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:50|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:52|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:54|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:56|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:56:58|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:57:00|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:57:02|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:57:04|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:57:06|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:57:08|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:57:10|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:57:12|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:57:14|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:57:16|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:57:18|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:57:20|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:57:22|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:57:24|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:57:26|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:57:29|INFO|19.71|1018|78|Rain|Leichter Regen
