Timestamp     |Vorlauf   |Aussen    
20171010150144|     24.44|    24.812
20171010150208|     24.75|    24.812
20171010150211|     25.06|    24.812
20171010150217|     25.50|    24.875
20171010150223|     25.88|    24.875
20171010150232|     26.12|    25.125
20171010150238|     26.12|    25.625
20171010150244|     26.12|    26.000
20171010150330|     25.56|    25.938
20171010150409|     25.25|    26.375
20171010150418|     25.19|    26.688
20171010150503|     24.94|    26.688
20171010150527|     24.81|    26.375
20171010150606|     24.69|    26.062
20171010150657|     24.56|    25.750
20171010150733|     24.44|    26.000
20171010150748|     24.69|    25.875
20171010150907|     24.50|    25.438
20171010150925|     24.44|    25.438
20171010151137|     24.19|    25.250
20171010151255|     24.25|    25.125
20171010155205|     23.94|    25.000
20171010162709|     23.88|    24.812
