Time               ;q [%] ;p_Low [bar];p_High [bar];T_Env [C] ;T_Water [C];Comp_1_Ready;Comp_2_Ready;EmergencyOff;DelayedOn;ShutOff-Valve;Water Pump ;Mixing Valve Open;Compressor 1   ;Compressor 2   ;Fan Speed
2020-09-11 19:49:29; 54.75;  4.78     ;  5.56      ;      22.7;      23.0 ;        True;        True;       False;     True;       Closed;        Off;              0.0;       0.0  Off;       0.0  Off;          0
2020-09-11 19:49:29;-23.62 ERROR: No sensor attached!!!;  4.77     ;  5.56      ;      19.5;      19.7 ;        True;        True;       False;     True;       Closed;         On;             80.0;       0.0  Off;       0.0  Off;          1
2020-09-11 19:49:29; 54.75;  4.80     ;  5.53      ;      20.2;      20.2 ;        True;        True;       False;     True;       Closed;         On;             80.0;       0.0  Off;       0.0  Off;          1
2020-09-11 19:49:29; 54.75;  4.74     ;  5.72      ;      20.0;      20.2 ;        True;        True;       False;     True;       Closed;         On;             80.0;       0.0  Off;       0.0  Off;          1
2020-09-11 19:49:29; 54.63;  4.81     ;  5.44      ;      20.2;      20.5 ;        True;        True;       False;     True;       Closed;         On;             80.0;       0.0  Off;       0.0  Off;          1
2020-09-11 19:49:30; 54.75;  4.77     ;  5.59      ;      20.2;      20.5 ;        True;        True;       False;     True;       Closed;         On;             80.0;       0.0  Off;       0.0  Off;          1
2020-09-11 19:49:30; 54.63;  4.75     ;  5.56      ;      20.2;      20.5 ;        True;        True;       False;     True;       Closed;         On;             80.0;       0.0  Off;       0.0  Off;          1
2020-09-11 19:49:30; 54.75;  4.81     ;  5.50      ;      20.5;      20.7 ;        True;        True;       False;     True;       Closed;         On;             80.0;       0.0  Off;       0.0  Off;          1
2020-09-11 19:49:30; 54.63;  4.78     ;  5.69      ;      20.5;      20.7 ;        True;        True;       False;     True;       Closed;         On;             80.0;       0.0  Off;       0.0  Off;          1
2020-09-11 19:49:30; 54.75;  4.83     ;  5.63      ;      20.7;      20.7 ;        True;        True;       False;     True;       Closed;         On;             80.0;       0.0  Off;       0.0  Off;          1
2020-09-11 19:49:30; 54.75;  4.75     ;  5.72      ;      20.5;      20.7 ;        True;        True;       False;     True;       Closed;         On;             80.0;       0.0  Off;       0.0  Off;          1
2020-09-11 19:49:30; 54.75;  4.75     ;  5.69      ;      20.5;      20.7 ;        True;        True;       False;     True;       Closed;         On;             80.0;       0.0  Off;       0.0  Off;          1
2020-09-11 19:49:31; 54.75;  4.74     ;  5.53      ;      20.5;      20.7 ;        True;        True;       False;     True;       Closed;         On;             80.0;       0.0  Off;       0.0  Off;          1
2020-09-11 19:49:31; 54.75;  4.81     ;  5.69      ;      20.5;      20.7 ;        True;        True;       False;     True;       Closed;         On;             80.0;       0.0  Off;       0.0  Off;          1
2020-09-11 19:49:31; 54.63;  4.77     ;  5.59      ;      20.5;      20.7 ;        True;        True;       False;     True;       Closed;         On;             80.0;       0.0  Off;       0.0  Off;          1
